county,drop,drop,drop,GDP,drop,drop,drop,drop,drop,
Tallapoosa,"1,335,855","1,416,399","1,433,222",1422123,29,6.0,1.2,-0.8,54,
Tuscaloosa,"10,292,005","10,452,341","10,419,259",10745352,6,1.6,-0.3,3.1,22,
Walker,"1,683,379","1,681,182","1,807,241",1809493,24,-0.1,7.5,0.1,46,
Washington,"833,596","903,018","944,983",985765,35,8.3,4.6,4.3,16,
Wilcox,"410,304","359,380","340,873",366399,58,-12.4,-5.1,7.5,4,
Winston,"801,044","808,178","797,971",787107,41,0.9,-1.3,-1.4,57,
,,,,,,,,,,
Alaska,"50,332,774","51,454,146","50,767,108",54059682,--,2.2,-1.3,6.5,--,
Aleutians East Borough,"240,184","278,729","286,836",291546,17,16.0,2.9,1.6,19,
Aleutians West Census Area,"879,026","834,484","705,081",740425,10,-5.1,-15.5,5.0,10,
Anchorage Municipality,"22,366,993","22,868,303","23,169,490",24036883,1,2.2,1.3,3.7,14,
Bethel Census Area,"681,822","661,162","663,577",687011,11,-3.0,0.4,3.5,15,
Bristol Bay Borough,"124,970","145,045","148,524",148036,23,16.1,2.4,-0.3,23,
Chugach Census Area,"1,268,010","1,330,368","1,406,228",1341672,7,5,5.7,-4.6,27,
Copper River Census Area,"106,221","124,946","128,311",134453,24,18,2.7,4.8,13,
Denali Borough,"204,622","248,583","270,296",283364,18,21.5,8.7,4.8,12,
Dillingham Census Area,"245,485","240,096","241,218",258398,19,-2.2,0.5,7.1,5,
Fairbanks North Star Borough,"5,450,465","5,728,811","5,576,437",5595570,3,5.1,-2.7,0.3,22,
Haines Borough,"87,674","95,496","95,886",102682,26,8.9,0.4,7.1,6,
Hoonah-Angoon Census Area,"77,890","84,328","99,769",108503,25,8.3,18.3,8.8,3,
Juneau City and Borough,"2,292,657","2,421,944","2,423,728",2387533,6,5.6,0.1,-1.5,25,
Kenai Peninsula Borough,"2,708,293","2,640,693","2,547,170",2679059,5,-2.5,-3.5,5.2,9,
Ketchikan Gateway Borough,"812,773","848,840","861,119",879702,8,4.4,1.4,2.2,17,
Kodiak Island Borough,"772,016","765,696","804,187",819757,9,-0.8,5.0,1.9,18,
Kusilvak Census Area,"152,751","149,545","152,775",149800,22,-2.1,2.2,-1.9,26,
Lake and Peninsula Borough,"79,381","105,586","85,299",90101,28,33.0,-19.2,5.6,7,
Matanuska-Susitna Borough,"2,907,580","3,053,364","3,123,776",3225633,4,5.0,2.3,3.3,16,
Nome Census Area,"423,290","429,031","458,123",460730,15,1.4,6.8,0.6,21,
North Slope Borough,"6,212,554","5,959,155","5,332,498",7085304,2,-4.1,-10.5,32.9,1,
Northwest Arctic Borough,"631,816","622,724","608,380",577646,13,-1.4,-2.3,-5.1,29,
Petersburg Borough,"166,069","175,600","162,296",170706,21,5.7,-7.6,5.2,8,
Prince of Wales-Hyder Census Area,"240,040","239,823","244,420",243033,20,-0.1,1.9,-0.6,24,
Sitka City and Borough,"439,554","505,447","519,540",545349,14,15.0,2.8,5.0,11,
Skagway Municipality,"60,885","68,119","73,995",80430,29,11.9,8.6,8.7,4,
Southeast Fairbanks Census Area,"625,703","733,963","687,603",655659,12,17.3,-6.3,-4.6,28,
Wrangell City and Borough,"83,923","82,804","85,343",94748,27,-1.3,3.1,11.0,2,
Yakutat City and Borough,"33,887","38,485","39,140",36830,30,13.6,1.7,-5.9,30,
Yukon-Koyukuk Census Area,"287,378","280,672","290,251",293143,16,-2.3,3.4,1.0,20,
,,,,,,,,,,
Arizona,"365,027,704","395,035,854","410,228,449",422399581,--,8.2,3.8,3.0,--,
Apache,"2,387,490","2,361,641","2,300,187",2209495,10,-1.1,-2.6,-3.9,14,
Cochise,"4,997,956","4,920,631","5,000,069",4969525,8,-1.5,1.6,-0.6,10,
Coconino,"7,005,682","7,571,641","7,714,807",8001256,6,8.1,1.9,3.7,4,
Gila,"1,736,150","1,873,519","1,786,747",1761201,12,7.9,-4.6,-1.4,11,
Graham,"1,192,277","1,370,207","1,277,881",1249375,14,14.9,-6.7,-2.2,12,
Greenlee,"1,546,070","1,907,924","1,598,695",1468908,13,23.4,-16.2,-8.1,15,
La Paz,"679,952","757,169","696,537",678607,15,11.4,-8.0,-2.6,13,
Maricopa,"265,099,855","289,061,970","303,059,892",311303699,1,9.0,4.8,2.7,7,
Mohave,"5,861,065","6,435,342","6,591,777",6877318,7,9.8,2.4,4.3,3,
Navajo,"2,790,294","2,857,159","2,910,548",2934657,9,2.4,1.9,0.8,8,
Pima,"45,292,634","47,871,993","48,551,808",50781363,2,5.7,1.4,4.6,2,
Pinal,"9,465,477","10,035,255","10,539,494",11485897,3,6.0,5.0,9.0,1,
Santa Cruz,"1,941,624","2,039,492","2,030,793",2047319,11,5.0,-0.4,0.8,9,
Yavapai,"7,478,041","8,206,724","8,145,280",8387833,5,9.7,-0.7,3.0,6,
Yuma,"7,571,543","7,788,204","8,156,045",8435182,4,2.9,4.7,3.4,5,
,,,,,,,,,,
Arkansas,"128,340,910","137,463,618","139,560,739",142860555,--,7.1,1.5,2.4,--,
Arkansas,"1,055,797","1,148,419","1,078,575",1100682,23,8.8,-6.1,2.0,36,
Ashley,"804,429","820,458","849,623",909412,26,2.0,3.6,7.0,10,
Baxter,"1,559,787","1,652,732","1,677,277",1697626,17,6.0,1.5,1.2,42,
Benton,"16,501,504","18,103,196","19,114,059",19712755,2,9.7,5.6,3.1,25,
Boone,"1,298,521","1,437,457","1,438,668",1504210,20,10.7,0.1,4.6,19,
Bradley,"329,628","342,921","331,525",329636,57,4.0,-3.3,-0.6,47,
Calhoun,"341,397","375,713","331,296",330897,56,10.1,-11.8,-0.1,46,
Carroll,"814,911","915,991","976,077",869730,28,12.4,6.6,-10.9,73,
Chicot,"272,120","293,543","262,247",274888,61,7.9,-10.7,4.8,18,
Clark,"779,160","787,265","757,434",799464,29,1.0,-3.8,5.5,13,
Clay,"334,367","369,159","346,161",366765,54,10.4,-6.2,6.0,12,
Cleburne,"617,313","647,638","644,300",653112,35,4.9,-0.5,1.4,40,
Cleveland,"96,452","130,404","157,720",142124,73,35.2,20.9,-9.9,72,
Columbia,"863,189","977,313","1,004,245",1052780,24,13.2,2.8,4.8,17,
Conway,"681,136","744,337","758,160",734272,30,9.3,1.9,-3.2,57,
Craighead,"4,876,797","5,333,029","5,422,476",5482402,5,9.4,1.7,1.1,43,
Crawford,"1,687,393","1,757,350","1,718,263",1680451,18,4.1,-2.2,-2.2,52,
Crittenden,"1,745,287","1,752,472","1,720,415",1757118,16,0.4,-1.8,2.1,35,
Cross,"451,954","462,047","454,081",501210,44,2.2,-1.7,10.4,5,
Dallas,"244,686","251,019","232,421",239044,64,2.6,-7.4,2.8,27,
Desha,"551,887","572,562","531,573",559766,41,3.7,-7.2,5.3,14,
Drew,"589,149","610,049","600,875",615578,37,3.5,-1.5,2.4,32,
Faulkner,"3,928,507","4,094,450","4,227,915",4414444,6,4.2,3.3,4.4,20,
Franklin,"429,003","427,763","476,802",455031,49,-0.3,11.5,-4.6,61,
Fulton,"187,154","200,045","202,798",190114,69,6.9,1.4,-6.3,67,
Garland,"3,406,886","3,524,013","3,557,580",3654803,8,3.4,1.0,2.7,29,
Grant,"408,479","428,947","439,913",457951,48,5.0,2.6,4.1,21,
Greene,"1,469,332","1,661,141","1,631,629",1772854,15,13.1,-1.8,8.7,8,
Hempstead,"938,467","971,636","1,019,566",960918,25,3.5,4.9,-5.8,66,
Hot Spring,"984,852","1,061,563","1,171,487",1203369,22,7.8,10.4,2.7,30,
Howard,"546,508","623,515","657,762",577760,39,14.1,5.5,-12.2,75,
Independence,"1,653,455","1,813,531","1,914,377",1982731,14,9.7,5.6,3.6,22,
Izard,"259,133","277,816","294,657",294660,59,7.2,6.1,0.0,45,
Jackson,"666,323","726,045","738,798",894893,27,9.0,1.8,21.1,3,
Jefferson,"2,870,944","3,042,316","2,900,356",2846850,11,6.0,-4.7,-1.8,51,
Johnson,"644,489","719,137","748,444",705961,32,11.6,4.1,-5.7,64,
Lafayette,"115,719","137,295","144,905",136853,74,18.6,5.5,-5.6,63,
Lawrence,"440,448","429,273","436,856",443928,50,-2.5,1.8,1.6,39,
Lee,"162,358","191,413","175,249",168935,71,17.9,-8.4,-3.6,58,
Lincoln,"224,047","264,322","269,143",257522,63,18.0,1.8,-4.3,60,
Little River,"512,695","496,161","497,744",486746,46,-3.2,0.3,-2.2,53,
Logan,"418,562","464,997","501,824",463017,47,11.1,7.9,-7.7,69,
Lonoke,"1,363,373","1,468,007","1,461,978",1538404,19,7.7,-0.4,5.2,16,
Madison,"350,122","430,529","490,287",434964,51,23.0,13.9,-11.3,74,
Marion,"564,036","634,609","629,267",637470,36,12.5,-0.8,1.3,41,
Miller,"1,342,292","1,366,330","1,308,344",1270017,21,1.8,-4.2,-2.9,56,
Mississippi,"2,718,682","3,423,161","3,512,613",3823662,7,25.9,2.6,8.9,7,
Monroe,"201,086","196,129","189,740",213802,66,-2.5,-3.3,12.7,4,
Montgomery,"134,109","144,311","149,546",149922,72,7.6,3.6,0.3,44,
Nevada,"233,063","239,293","233,038",213374,67,2.7,-2.6,-8.4,70,
Newton,"99,106","105,140","100,065",98352,75,6.1,-4.8,-1.7,50,
Ouachita,"616,925","634,830","654,606",669597,34,2.9,3.1,2.3,34,
Perry,"146,675","171,034","189,277",186884,70,16.6,10.7,-1.3,49,
Phillips,"534,151","566,589","523,632",536336,42,6.1,-7.6,2.4,33,
Pike,"249,196","259,811","283,012",274986,60,4.3,8.9,-2.8,55,
Poinsett,"586,811","604,537","626,292",688099,33,3.0,3.6,9.9,6,
Polk,"504,690","570,668","599,838",571735,40,13.1,5.1,-4.7,62,
Pope,"2,906,472","2,951,222","2,942,224",3165510,9,1.5,-0.3,7.6,9,
Prairie,"196,128","198,967","185,587",225501,65,1.4,-6.7,21.5,2,
Pulaski,"29,104,654","30,281,393","30,641,832",31618885,1,4.0,1.2,3.2,24,
Randolph,"500,632","556,178","550,618",528533,43,11.1,-1.0,-4.0,59,
St. Francis,"720,772","730,649","703,093",721537,31,1.4,-3.8,2.6,31,
Saline,"2,740,227","2,984,448","2,918,796",3072144,10,8.9,-2.2,5.3,15,
Scott,"259,604","329,226","353,864",333594,55,26.8,7.5,-5.7,65,
Searcy,"171,576","186,307","186,949",190332,68,8.6,0.3,1.8,37,
Sebastian,"6,651,961","6,998,575","7,060,470",7271760,4,5.2,0.9,3.0,26,
Sevier,"418,552","491,981","534,642",500883,45,17.5,8.7,-6.3,68,
Sharp,"307,305","365,557","401,919",392973,52,19.0,9.9,-2.2,54,
Stone,"227,358","254,203","261,420",270620,62,11.8,2.8,3.5,23,
Union,"2,463,153","2,592,244","2,585,569",2760334,12,5.2,-0.3,6.8,11,
Van Buren,"354,773","382,993","367,571",378018,53,8.0,-4.0,2.8,28,
Washington,"11,989,877","13,087,777","13,319,964",13240214,3,9.2,1.8,-0.6,48,
White,"2,160,930","2,388,094","2,371,025",2411281,13,10.5,-0.7,1.7,38,
Woodruff,"232,139","256,796","245,261",314387,58,10.6,-4.5,28.2,1,
Yell,"536,899","622,891","668,152",607756,38,16.0,7.3,-9.0,71,
,,,,,,,,,,
California,"2,933,320,241","3,154,188,636","3,184,007,836",3248656553,--,7.5,0.9,2.0,--,
Alameda,"136,360,934","145,802,065","149,679,209",150532046,7,6.9,2.7,0.6,47,
Alpine,"107,899","106,967","102,957",105610,57,-0.9,-3.7,2.6,30,
Amador,"1,579,109","1,594,467","1,622,769",1659330,45,1.0,1.8,2.3,35,
Butte,"8,910,788","9,129,906","9,027,053",9278380,30,2.5,-1.1,2.8,27,
Calaveras,"1,341,160","1,362,842","1,381,565",1472506,47,1.6,1.4,6.6,12,
Colusa,"1,495,139","1,387,578","1,466,671",1609218,46,-7.2,5.7,9.7,6,
Contra Costa,"71,307,929","77,470,793","77,170,082",78357593,11,8.6,-0.4,1.5,37,
Del Norte,"783,182","811,327","815,379",844062,53,3.6,0.5,3.5,20,
El Dorado,"7,822,988","8,191,849","8,345,528",8833331,31,4.7,1.9,5.8,14,
Fresno,"44,416,463","46,007,412","46,107,283",47612742,13,3.6,0.2,3.3,23,
Glenn,"1,054,825","1,073,796","1,045,692",1031970,52,1.8,-2.6,-1.3,56,
Humboldt,"5,378,485","5,575,635","5,682,072",5872356,35,3.7,1.9,3.3,22,
Imperial,"8,764,641","8,402,635","8,994,544",10467574,28,-4.1,7.0,16.4,2,
Inyo,"1,136,875","1,134,970","1,089,927",1141849,50,-0.2,-4.0,4.8,17,
Kern,"45,610,265","46,383,111","44,626,843",46941848,14,1.7,-3.8,5.2,16,
Kings,"6,531,692","6,604,670","6,868,202",7041297,33,1.1,4.0,2.5,32,
Lake,"1,879,722","1,940,505","1,902,809",1954710,43,3.2,-1.9,2.7,28,
Lassen,"1,175,128","1,157,718","1,116,864",1142546,49,-1.5,-3.5,2.3,34,
Los Angeles,"729,068,982","773,571,300","793,716,985",801967353,1,6.1,2.6,1.0,43,
Madera,"6,201,866","6,448,515","6,043,485",6226914,34,4.0,-6.3,3.0,25,
Marin,"29,348,325","30,392,613","30,168,355",30661017,18,3.6,-0.7,1.6,36,
Mariposa,"661,568","683,994","709,217",786148,54,3.4,3.7,10.8,4,
Mendocino,"3,395,421","3,590,938","3,508,130",3667396,38,5.8,-2.3,4.5,18,
Merced,"9,115,222","9,294,314","9,511,320",9548937,29,2.0,2.3,0.4,49,
Modoc,"459,550","448,056","466,071",554727,55,-2.5,4.0,19.0,1,
Mono,"931,741","1,024,799","1,085,719",1178510,48,10.0,5.9,8.5,9,
Monterey,"27,384,056","27,567,952","27,891,144",28980213,20,0.7,1.2,3.9,19,
Napa,"10,431,615","11,466,302","11,077,239",11412110,27,9.9,-3.4,3.0,26,
Nevada,"4,304,596","4,472,549","4,629,590",4747160,36,3.9,3.5,2.5,31,
Orange,"252,885,765","268,088,252","271,594,865",273063592,3,6.0,1.3,0.5,48,
Placer,"23,905,563","26,026,237","26,650,663",27022666,21,8.9,2.4,1.4,39,
Plumas,"895,325","840,333","923,602",1035904,51,-6.1,9.9,12.2,3,
Riverside,"89,428,650","95,104,339","97,560,909",98880553,10,6.3,2.6,1.4,40,
Sacramento,"92,219,821","97,522,589","99,742,125",102387018,8,5.8,2.3,2.7,29,
San Benito,"2,203,403","2,330,960","2,320,574",2273410,41,5.8,-0.4,-2.0,57,
San Bernardino,"94,067,565","100,046,884","101,393,574",102307449,9,6.4,1.3,0.9,44,
San Diego,"233,308,848","250,384,596","258,035,086",261671687,4,7.3,3.1,1.4,38,
San Francisco,"209,160,216","238,581,632","229,708,581",237017759,5,14.1,-3.7,3.2,24,
San Joaquin,"31,111,615","33,640,343","33,301,759",33097405,15,8.1,-1.0,-0.6,53,
San Luis Obispo,"17,070,404","17,908,159","18,104,004",18023027,24,4.9,1.1,-0.4,52,
San Mateo,"150,498,469","170,596,614","172,933,203",186334708,6,13.4,1.4,7.7,10,
Santa Barbara,"29,567,144","31,591,137","31,650,577",31996811,16,6.8,0.2,1.1,42,
Santa Clara,"337,195,139","379,317,239","377,365,243",390234709,2,12.5,-0.5,3.4,21,
Santa Cruz,"15,313,067","16,518,154","16,380,508",16488399,25,7.9,-0.8,0.7,46,
Shasta,"8,165,870","8,287,294","8,270,098",8742908,32,1.5,-0.2,5.7,15,
Sierra,"91,114","90,688","100,439",98012,58,-0.5,10.8,-2.4,58,
Siskiyou,"1,660,424","1,622,495","1,677,022",1849450,44,-2.3,3.4,10.3,5,
Solano,"31,087,660","31,835,259","29,623,911",29643413,19,2.4,-6.9,0.1,51,
Sonoma,"29,572,422","31,655,078","30,954,169",31011472,17,7.0,-2.2,0.2,50,
Stanislaus,"22,651,130","23,715,467","23,803,366",24067824,22,4.7,0.4,1.1,41,
Sutter,"3,574,328","3,866,123","3,948,821",3915978,37,8.2,2.1,-0.8,54,
Tehama,"2,026,350","2,075,820","1,992,361",2135028,42,2.4,-4.0,7.2,11,
Trinity,"403,924","386,888","370,035",402737,56,-4.2,-4.4,8.8,7,
Tulare,"18,062,395","18,345,174","18,399,182",18824792,23,1.6,0.3,2.3,33,
Tuolumne,"2,316,248","2,355,456","2,398,321",2610180,40,1.7,1.8,8.8,8,
Ventura,"51,241,052","53,217,781","53,252,680",53629861,12,3.9,0.1,0.7,45,
Yolo,"14,957,942","15,615,946","15,699,176",15555485,26,4.4,0.5,-0.9,55,
Yuba,"3,200,163","3,237,690","3,183,292",3373337,39,1.2,-1.7,6.0,13,
,,,,,,,,,,
Colorado,"380,188,778","406,451,935","418,818,816",437056036,--,6.9,3.0,4.4,--,
Adams,"28,329,940","30,267,327","30,848,062",32332614,6,6.8,1.9,4.8,30,
Alamosa,"673,937","698,608","690,848",686499,33,3.7,-1.1,-0.6,59,
Arapahoe,"49,209,130","50,922,313","52,411,908",54078395,2,3.5,2.9,3.2,44,
Archuleta,"509,203","544,504","551,227",568591,35,6.9,1.2,3.2,46,
Baca,"110,108","127,080","164,697",211301,50,15.4,29.6,28.3,3,
Bent,"125,877","129,787","118,767",140142,55,3.1,-8.5,18.0,8,
Boulder,"29,094,426","31,263,654","31,852,972",32931483,5,7.5,1.9,3.4,40,
Broomfield,"8,407,182","9,214,069","9,857,649",10207031,10,9.6,7.0,3.5,37,
Chaffee,"806,533","880,197","896,615",944387,28,9.1,1.9,5.3,27,
Cheyenne,"160,506","267,446","267,014",326760,46,66.6,-0.2,22.4,4,
Clear Creek,"457,952","457,446","474,226",528527,39,-0.1,3.7,11.5,12,
Conejos,"194,625","201,791","169,045",187945,51,3.7,-16.2,11.2,14,
Costilla,"83,026","79,884","79,190",84139,61,-3.8,-0.9,6.3,24,
Crowley,"116,813","118,782","96,588",116733,57,1.7,-18.7,20.9,5,
Custer,"134,297","155,267","159,471",164619,54,15.6,2.7,3.2,42,
Delta,"854,080","853,924","900,419",911356,29,0.0,5.4,1.2,55,
Denver,"81,049,624","89,757,484","96,023,871",98955752,1,10.7,7.0,3.1,48,
Dolores,"99,972","97,627","100,225",93166,59,-2.3,2.7,-7.0,63,
Douglas,"20,628,928","21,952,707","23,536,098",24304453,7,6.4,7.2,3.3,41,
Eagle,"4,020,854","4,566,811","4,894,661",5071876,13,13.6,7.2,3.6,36,
Elbert,"710,240","784,684","695,224",746846,31,10.5,-11.4,7.4,18,
El Paso,"37,840,469","40,030,532","40,800,101",42588082,3,5.8,1.9,4.4,32,
Fremont,"1,417,689","1,482,772","1,496,920",1557426,21,4.6,1.0,4.0,33,
Garfield,"3,594,513","3,766,850","3,645,446",3837815,14,4.8,-3.2,5.3,28,
Gilpin,"529,949","662,854","700,674",724691,32,25.1,5.7,3.4,39,
Grand,"874,602","994,458","1,078,469",1112678,24,13.7,8.4,3.2,45,
Gunnison,"992,061","1,065,285","1,209,839",1225711,23,7.4,13.6,1.3,53,
Hinsdale,"36,504","38,405","42,626",45502,63,5.2,11.0,6.7,20,
Huerfano,"235,864","251,026","225,701",264032,47,6.4,-10.1,17.0,9,
Jackson,"113,016","109,824","99,472",131582,56,-2.8,-9.4,32.3,2,
Jefferson,"33,087,319","34,636,820","35,452,565",36744206,4,4.7,2.4,3.6,35,
Kiowa,"63,027","93,193","73,844",97689,58,47.9,-20.8,32.3,1,
Kit Carson,"354,657","487,106","465,598",551067,36,37.3,-4.4,18.4,7,
Lake,"301,885","319,613","338,025",330640,45,5.9,5.8,-2.2,61,
La Plata,"2,992,231","3,145,664","3,104,215",3211843,15,5.1,-1.3,3.5,38,
Larimer,"20,154,078","21,332,235","21,728,125",22016467,9,5.8,1.9,1.3,52,
Las Animas,"523,763","508,365","492,305",504599,40,-2.9,-3.2,2.5,50,
Lincoln,"374,067","379,739","379,422",422369,44,1.5,-0.1,11.3,13,
Logan,"915,372","1,032,762","1,045,295",1104295,25,12.8,1.2,5.6,25,
Mesa,"6,608,274","6,930,925","7,177,634",7367394,11,4.9,3.6,2.6,49,
Mineral,"51,511","59,531","66,007",68945,62,15.6,10.9,4.5,31,
Moffat,"1,029,971","1,046,275","1,076,539",1003615,27,1.6,2.9,-6.8,62,
Montezuma,"1,235,514","1,334,950","1,243,434",1229344,22,8.0,-6.9,-1.1,60,
Montrose,"1,567,762","1,632,031","1,742,828",1810292,19,4.1,6.8,3.9,34,
Morgan,"1,473,918","1,516,695","1,482,539",1561979,20,2.9,-2.3,5.4,26,
Otero,"563,765","582,305","543,871",550575,37,3.3,-6.6,1.2,54,
Ouray,"211,465","266,818","254,364",254150,49,26.2,-4.7,-0.1,58,
Park,"418,525","461,072","445,176",466860,41,10.2,-3.4,4.9,29,
Phillips,"179,835","196,847","228,011",258754,48,9.5,15.8,13.5,11,
Pitkin,"2,157,733","2,430,395","2,735,727",2823427,17,12.6,12.6,3.2,43,
Prowers,"441,055","504,607","459,556",534509,38,14.4,-8.9,16.3,10,
Pueblo,"6,193,982","6,602,826","6,456,071",6881755,12,6.6,-2.2,6.6,21,
Rio Blanco,"565,276","571,835","553,979",607902,34,1.2,-3.1,9.7,15,
Rio Grande,"462,142","440,269","409,162",435258,43,-4.7,-7.1,6.4,23,
Routt,"1,871,077","2,100,324","2,236,368",2282963,18,12.3,6.5,2.1,51,
Saguache,"187,089","198,348","158,036",172959,53,6.0,-20.3,9.4,16,
San Juan,"32,937","38,191","40,774",43441,64,16.0,6.8,6.5,22,
San Miguel,"608,089","746,754","838,184",846960,30,22.8,12.2,1.0,56,
Sedgwick,"66,137","79,540","90,549",90667,60,20.3,13.8,0.1,57,
Summit,"2,519,914","2,836,833","3,053,821",3147916,16,12.6,7.6,3.1,47,
Teller,"991,652","1,038,679","963,308",1030558,26,4.7,-7.3,7.0,19,
Washington,"129,148","168,789","203,549",186811,52,30.7,20.6,-8.2,64,
Weld,"19,906,701","20,409,798","19,168,541",22705689,8,2.5,-6.1,18.5,6,
Yuma,"400,574","426,851","424,665",462878,42,6.6,-0.5,9.0,17,
,,,,,,,,,,
Connecticut,"260,765,221","269,838,687","278,975,911",286628442,--,3.5,3.4,2.7,--,
Fairfield,"84,666,390","88,205,453","93,195,709",96598373,1,4.2,5.7,3.7,3,
Hartford,"80,323,168","82,844,373","85,232,274",87029233,2,3.1,2.9,2.1,5,
Litchfield,"8,210,484","8,954,794","9,006,567",9068950,6,9.1,0.6,0.7,8,
Middlesex,"9,286,854","9,506,836","9,873,834",10313590,5,2.4,3.9,4.5,1,
New Haven,"50,178,248","51,893,346","52,347,719",53369766,3,3.4,0.9,2.0,6,
